ltv,equity_pct,hei_to_equity_ratio,credit_tier,log_property_value,appreciation_cagr,appreciation_5yr_total,cap_multiple,equity_share_pct,term_years,expected_irr_base,cap_exceedance_prob,log_investment,investment_to_value_pct,label,_property_value,_credit_score,_hei_amount,_state,_irr_bear,_irr_base,_irr_bull
0.6895076726931644,0.31049232730683557,0.09700201341664935,2.0,13.48274955250843,0.07152019072511406,0.41254338113176936,2.2264122790244865,0.16350665416572718,10.0,0.0833,0.84,9.980174835235422,0.030118380899184345,REVIEW,716940.518793527,699,21593.08762708228,SC,2.56,8.33,8.33
0.46919310954649246,0.5308068904535075,0.03746376538494692,2.0,13.553148965716371,0.07049340879005202,0.40578850583663506,2.3650930446383955,0.15436117230686827,10.0,0.08990000000000001,0.84,9.635474971154151,0.019886024808663427,APPROVE,769231.8247870456,709,15296.963151328626,NV,5.73,8.99,8.99
0.6498911045787739,0.3501088954212262,0.14156430055676353,3.0,13.408790184301731,0.06223472726102546,0.35239164093303277,1.9337961170845224,0.28083369941890324,10.0,0.0682,0.84,10.404306697241493,0.04956292089900695,REVIEW,665829.347974586,762,33000.44730590178,KY,-3.06,6.82,6.82
0.33191655613709986,0.6680834438629002,0.11563071500626275,2.0,13.44340391047829,0.06868314658529619,0.39394231706925287,1.853667553722703,0.1758601030630167,10.0,0.0637,0.84,10.882725385154526,0.07725096629771355,APPROVE,689279.7285474152,699,53247.525079713516,OH,-7.41,6.37,6.37
0.5595908451991181,0.440409154800882,0.09843651159647847,2.0,13.461176044118954,0.06903466797631133,0.3962363693388742,2.256970294428226,0.15314743737718967,10.0,0.0848,0.84,10.32281291611932,0.043352340873752296,REVIEW,701639.2197264845,707,30417.702623976144,NY,-3.06,8.48,8.48
0.33432949452330024,0.6656705054766998,0.035736564462626116,3.0,13.321228019979586,0.044287841523357144,0.2419414102090549,2.4661540435891145,0.15383991928751928,10.0,0.09449999999999999,0.84,9.582753922859789,0.023788776929836993,APPROVE,610007.4081943042,751,14511.330159082321,ND,-10.47,9.45,9.45
0.3431973694922814,0.6568026305077186,0.06641694060721338,3.0,12.342519575477695,0.061634650330922955,0.3485759935386592,1.8199911780357676,0.2078134817977325,10.0,0.0617,0.84,9.210440366976517,0.043622821301092664,APPROVE,229237.80951667883,804,10000.0,ME,-5.23,6.17,6.17
0.22716265666444638,0.7728373433355537,0.0606623238478857,2.0,12.743220446434727,0.07085282722798734,0.40815006035535184,2.287998673588706,0.3,10.0,0.0863,0.84,9.6831607073221,0.04688210920316099,APPROVE,342222.8884450855,721,16044.13082790368,KS,3.91,8.63,8.63
0.42279621075194396,0.577203789248056,0.05302741502382386,2.0,12.718139653270287,0.056734843348125785,0.3177412390197438,2.998692356676715,0.11736832046147316,10.0,0.1094,0.16,9.2317284238937,0.030607624885780428,APPROVE,333746.38493671414,705,10215.184157128226,CO,-12.4,10.94,11.61
0.34472778324317227,0.6552722167568278,0.0731007290014803,2.0,12.622885693305436,0.06821253754812603,0.3908758125134233,2.178486979672672,0.2567379768891993,10.0,0.081,0.84,9.584329727172076,0.047900876739340126,APPROVE,303422.77153505734,730,14534.21677920974,MO,0.59,8.1,8.1
